PG.ProteinGroups	PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	Neurite_1	Neurite_2	Neurite_3	Neurite_4	Neurite_5	Neurite_6	 Soma_1	 Soma_2	 Soma_3	 Soma_4	 Soma_5
Q8TB72	Q8TB72	PUM2	Pumilio homolog 2	22489.39844	2292.596924	8740.635742	1803.00354	2226.25415	2600.700439	16755.04883	21568.56055	16884.70117	17028.04297	20291.06055
Q8TB92	Q8TB92	HMGCLL1	"3-hydroxy-3-methylglutaryl-CoA lyase, cytoplasmic"	13191.99121	8089.488281	7948.429199	14165.50488	15220.15234	16618.36133	6555.092285	6237.053223	2755.97876	5738.686523	5737.808105
Q8TB96	Q8TB96	ITFG1	T-cell immunomodulatory protein	278208.0625	275242.5	288724.375	267130.3125	288172.0313	257690.4688	149259.3125	138492.5938	147909.4688	142498.0938	133972.4063
Q8TBA6	Q8TBA6	GOLGA5	Golgin subfamily A member 5	14747.29297	8591.204102	9300.956055	2928.617188	4526.746582	8670.953125	18013.55078	13523.06836	18390.10938	16496.59961	20608.67578
Q8TBB6	Q8TBB6	SLC7A14	Probable cationic amino acid transporter	9970.365234	9722.049805	9793.4375	11294.72949	9090.996094	8633.007813	2406.602539	3483.047363	4850.42334	4162.255371	3886.794678
Q8TBC4	Q8TBC4	UBA3	NEDD8-activating enzyme E1 catalytic subunit	60444	61375.11719	58838.51953	54687.25781	56340.15625	55258.90234	85859.11719	92634.71094	88358.46875	97375.82031	106837.7656
Q8TBC5	Q8TBC5	ZSCAN18	Zinc finger and SCAN domain-containing protein 18	1	1	1	1	1	1	6178.257324	9830.974609	9706.083984	7127.03125	12387.41699
Q8TBF2	Q8TBF2	PRXL2B	Prostamide/prostaglandin F synthase	20733.28906	23006.40234	21389.70703	21409.23047	22640.60352	22473.86523	9920.706055	13452.26563	12372.11133	12071.89551	9910.990234
Q8TBF5	Q8TBF5	PIGX	Phosphatidylinositol-glycan biosynthesis class X protein	5220.996094	6639.833008	8241.193359	8248.300781	4951.306152	4991.642578	8097.135254	7246.536133	8368.511719	7754.391602	7066.006348
Q8TBJ4	Q8TBJ4	PLPPR1	Phospholipid phosphatase-related protein type 1	58137.92578	62844.56641	65514.30469	71016.97656	60918.49219	56865.75	55713.40234	44876.5	46303.75	47566.58203	38360.84766
Q8TBK6	Q8TBK6	ZCCHC10	Zinc finger CCHC domain-containing protein 10	Filtered	Filtered	Filtered	1.057138801	Filtered	Filtered	13595.48438	15596.91797	15545.38379	15585.80762	13166.01465
Q8TBM8	Q8TBM8	DNAJB14	DnaJ homolog subfamily B member 14	35685.80859	37366.49219	36834.67188	33838.23047	67561.39844	32218.89844	25938.98047	25242.29883	22550.07617	26190.37305	28102.45313
Q8TBP6	Q8TBP6	SLC25A40	Solute carrier family 25 member 40	14412.52344	12852.72461	14261.21289	14807.63477	15794.41602	14643.01563	23828.78516	21671.71484	16058.46582	16593.02734	14324.88477
Q8TBX8	Q8TBX8	PIP4K2C	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	40740.50781	40793.21094	47318.66406	39070.55078	49295.57422	56768.46094	21794.78711	24221.13672	17481.03125	19646.81055	23441.08398
Q8TBZ3	Q8TBZ3	WDR20	WD repeat-containing protein 20	33249.08594	36489.71094	33629.25	34145.30469	16017.08203	38487.41016	14529.22754	6332.374512	17636.95313	17265.67773	9166.238281
Q8TC07	Q8TC07	TBC1D15	TBC1 domain family member 15	38633.6875	37573.92188	39149.03516	41482.77344	38797.87891	39304.86328	31249.65234	33022.40234	33491.15625	32780.60156	33101.64844
Q8TC12	Q8TC12	RDH11	Retinol dehydrogenase 11	277811.625	271367.4063	280223.625	269702.0625	296839.25	290290.4375	218337.4844	224934.6719	225182.5313	213665.2188	205366.3594
Q8TC26	Q8TC26	TMEM163	Transmembrane protein 163	307570.5625	360124.5938	360774.5938	354509.5938	136483.8125	330107.75	174051.875	50832.03906	157644.6406	137466.2813	120925.3906
Q8TCA0	Q8TCA0	LRRC20	Leucine-rich repeat-containing protein 20	6416.492188	8189.864258	11112.04297	12189.00293	10471.9209	9348.567383	5644.664551	6383.879395	7322.246582	6934.206055	7411.731934
Q8TCD5	Q8TCD5	NT5C	"5'(3')-deoxyribonucleotidase, cytosolic type"	19795.60938	19949.7207	19348.82813	19926.22266	18772.24023	20487.18945	16551.25391	17254.55469	13931.50195	15982.19824	12809.66211
Q8TCF1	Q8TCF1	ZFAND1	AN1-type zinc finger protein 1	27481.67969	27405.83984	32254.74219	34234.17578	27525.51367	32668.69336	23962.60156	25437.4707	29339.1875	23981.06836	23608.45313
Q8TCG5	Q8TCG5	CPT1C	"Carnitine O-palmitoyltransferase 1, brain isoform"	21331.6582	22212.92773	21820.47852	35978.75	21630.86523	22580.30664	18131.11914	23725.58203	33658.33203	19801.24609	31794.9043
Q8TCJ2	Q8TCJ2	STT3B	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	23380.52148	25126.57031	25906.66602	23054.29297	25553.46484	21942.41797	73768.73438	68921.39063	61819.51172	71546.15625	68548.67188
Q8TCQ1	Q8TCQ1	MARCHF1	E3 ubiquitin-protein ligase MARCHF1	7879.314941	8678.81543	9222.728516	Filtered	8356.231445	9868.521484	Filtered	Filtered	Filtered	Filtered	Filtered
Q8TCS8	Q8TCS8	PNPT1	"Polyribonucleotide nucleotidyltransferase 1, mitochondrial"	30047.75781	27151.99805	28178.45898	26376.41211	29461.89648	28715.32227	67877.24219	61139.63672	66008.4375	67972.45313	67835.45313
Q8TCT6	Q8TCT6	SPPL3	Signal peptide peptidase-like 3	2815.405762	Filtered	Filtered	Filtered	Filtered	Filtered	12072.49316	22640.19922	11182.85352	12840.4082	9481.332031
Q8TCT7	Q8TCT7	SPPL2B	Signal peptide peptidase-like 2B	11450.91992	12595.42578	13311.15332	12075.99707	11553.8418	18165.02734	15780.10156	8718.779297	10119.80371	8920.176758	15452.02734
Q8TCT8	Q8TCT8	SPPL2A	Signal peptide peptidase-like 2A	9828.717773	9601.660156	6983.74707	5710.915527	4841.971191	6540.031738	4020.277832	5750.726074	2455.195801	3742.357666	3386.65918
Q8TCT9	Q8TCT9	HM13	Minor histocompatibility antigen H13	35360.875	33368.74219	39056.4375	32738.6875	37238.82813	32671.16016	35065.64844	28754.69922	32324.34766	31217.70703	32122.02148
Q8TCU6	Q8TCU6	PREX1	"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein"	25677.50977	24284.55859	18342.67383	21815.05273	21077.9082	19879.91992	24454.68359	18599.66406	21804.10742	24011.18945	23016.7207
Q8TCX1	Q8TCX1	DYNC2LI1	Cytoplasmic dynein 2 light intermediate chain 1	12469.57031	10011.52344	12157.3916	12701.85156	10021.64063	12179.23145	11826.16309	16083.25977	18839.02734	14968.83105	16886.57813
Q8TCY9	Q8TCY9	URGCP	Up-regulator of cell proliferation	Filtered	Filtered	Filtered	324.1868286	Filtered	Filtered	3266.466064	2492.345215	140.1721802	3463.54126	3399.139893
Q8TD16	Q8TD16	BICD2	Protein bicaudal D homolog 2	Filtered	Filtered	Filtered	1853.998413	Filtered	536.7947388	2480.753906	Filtered	4371.577148	1781.709473	3443.014648
Q8TD17	Q8TD17	ZNF398	Zinc finger protein 398	1	1	1	1	1	1	1934.714844	1541.043457	2303.520752	2941.36499	3355.391846
Q8TD19	Q8TD19	NEK9	Serine/threonine-protein kinase Nek9	26981.30469	26085.625	24106.42578	25978.50586	25787.6875	23543.93945	24535.63867	21254.86719	23351.87891	24505.25586	22224.96484
Q8TD30	Q8TD30	GPT2	Alanine aminotransferase 2	9025.663086	8892.87793	4806.057617	8449.223633	2256.808838	6457.064453	24269.19922	20382.00391	25780.68945	23888.15039	21667.50391
Q8TD43	Q8TD43	TRPM4	Transient receptor potential cation channel subfamily M member 4	3145.802246	4018.419922	4371.228027	4628.582031	3909.929932	4165.81543	3109.243652	3442.978271	5031.089844	3376.763916	2749.29834
Q8TDC3	Q8TDC3	BRSK1	Serine/threonine-protein kinase BRSK1	202501.0625	186389.375	185449.125	184739.5469	184676.8125	167187.7969	108580.7656	107413.1953	112460.8359	95488.14844	85756.57031
Q8TDD1	Q8TDD1	DDX54	ATP-dependent RNA helicase DDX54	390.7151489	991.3231812	Filtered	306.9062195	Filtered	Filtered	18656.18359	14485.00098	17298.38281	18275.83984	19243.5332
Q8TDI0	Q8TDI0	CHD5	Chromodomain-helicase-DNA-binding protein 5	1	1	1	1	1	1	10355.38672	10541.91699	12614.64063	12184.14648	14506.82227
Q8TDJ6	Q8TDJ6	DMXL2	DmX-like protein 2	263824.0313	252806.8594	262754.5313	267272.6875	262134.75	243793.0313	138330.6563	145288	154025.8906	150992.7813	147980.8594
Q8TDM6	Q8TDM6	DLG5	Disks large homolog 5	3241.214844	3544.491211	3245.914063	2167.564453	3558.556396	2667.5	8259.901367	8125.633301	8829.008789	7699.62207	8932.511719
Q8TDN6	Q8TDN6	BRIX1	Ribosome biogenesis protein BRX1 homolog	Filtered	Filtered	Filtered	484.7081909	Filtered	Filtered	15231.21973	12035.50195	9116.414063	11830.09277	14853.15332
Q8TDQ7	Q8TDQ7	GNPDA2	Glucosamine-6-phosphate isomerase 2	7615.562012	3513.055176	8024.589844	8714.743164	7788.535645	11041.83496	Filtered	2644.108887	Filtered	Filtered	355.7431641
Q8TDW7	Q8TDW7	FAT3	Protocadherin Fat 3	18140.91211	15394.24219	18555.41602	19717.44922	17801.01172	19434.30273	8208.958984	7012.442871	10960.5625	8915.757813	7357.427734
Q8TDX6	Q8TDX6	CSGALNACT1	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	Filtered	Filtered	1	Filtered	1	Filtered	817.743103	510.056488	1935.359253	1989.17688	2143.432373
Q8TDX7	Q8TDX7	NEK7	Serine/threonine-protein kinase Nek7	5597.887207	7414.461914	5688.046875	5038.176758	4802.290527	5033.21875	3539.749023	4404.445801	3924.311768	4633.458984	3429.779297
Q8TDY2	Q8TDY2	RB1CC1	RB1-inducible coiled-coil protein 1	16814.13281	17087.91211	18563.86133	16354.4043	18917.78516	27323.62305	11772.64746	12958.23438	12796.75098	11689.82422	10891.33203
Q8TDY8	Q8TDY8	IGDCC4	Immunoglobulin superfamily DCC subclass member 4	6248.161133	5080.677734	5013.835938	5282.5	4812.76709	4366.617676	6943.688965	5703.725586	9393.837891	8061.938477	7609.425293
Q8TDZ2	Q8TDZ2	MICAL1	[F-actin]-monooxygenase MICAL1	104454.6016	100112.6797	99892.35938	102779.2734	100585.9453	93925.94531	56257.40234	56660.89063	56720.95313	54700.77734	49410.40625
Q8TE02	Q8TE02	ELP5	Elongator complex protein 5	Filtered	26759.71484	Filtered	1968.640381	Filtered	Filtered	2921.737549	2276.535645	3972.355713	4003.633545	4372.078613
Q8TE04	Q8TE04	PANK1	Pantothenate kinase 1	11779.95605	21448.86914	10941.3877	25433.60156	10380.18652	23945.57227	15538.63281	14717.06152	16464.11133	19288.12109	9578.165039
Q8TE23	Q8TE23	TAS1R2	Taste receptor type 1 member 2	48157.80469	50828.65625	49996.03125	43475.52734	53549.29688	45878.38281	40817.08984	39743.14453	35579.99609	50642.30078	39930.91406
Q8TE49	Q8TE49	OTUD7A	OTU domain-containing protein 7A	5863.548828	6217.489258	6822.381836	5512.398926	5764.236328	6845.298828	4160.321289	4268.120117	4611.421387	4475.875488	4380.424805
Q8TE69;Q96DE9	Q8TE69;Q96DE9	EOLA1;EOLA2	Protein EOLA1;Protein EOLA2	3104.615479	1964.844971	2466.781006	2482.668457	2318.622559	3270.500732	6959.133789	8005.605957	9546.458984	8921.425781	8964.049805
Q8TE99	Q8TE99	PXYLP1	2-phosphoxylose phosphatase 1	3745.233398	3209.320313	1232.894897	3696.632324	3088.994629	3270.246582	13941.00684	13244.00293	10286.09863	11930.91211	14668.57227
Q8TEA1	Q8TEA1	NSUN6	tRNA (cytosine(72)-C(5))-methyltransferase NSUN6	Filtered	Filtered	472.1455994	Filtered	Filtered	Filtered	2184.140137	1575.632202	2424.574951	1531.40332	2215.994385
Q8TEA7	Q8TEA7	TBCK	TBC domain-containing protein kinase-like protein	55504.74609	55918.625	52121.57422	55635.14453	53967.46875	53367.16016	46407.44922	48661.96484	52392.85547	50074.89844	48618.94922
Q8TEA8	Q8TEA8	DTD1	D-aminoacyl-tRNA deacylase 1	255407.375	268328.2813	288763.9375	268060	229217.7813	296098.5938	196681.1875	144918.6406	134031.5625	181248.7813	161100.5156
Q8TEB1	Q8TEB1	DCAF11	DDB1- and CUL4-associated factor 11	5458.085938	5972.541992	5917.493652	4771.561035	4953.699707	Filtered	6437.42334	7811.978516	8365.084961	8175.816406	7957.359863
Q8TED0	Q8TED0	UTP15	U3 small nucleolar RNA-associated protein 15 homolog	373.186554	Filtered	Filtered	Filtered	Filtered	346.3666077	12383.02832	11704.30957	13558.08887	12159.31543	11377.03906
Q8TEH3	Q8TEH3	DENND1A	DENN domain-containing protein 1A	15509.46875	12141.9873	15107.26172	16651.63281	11432.73242	15220.37402	10778.74219	10625.16016	13638.20508	11165.10645	11715.88477
Q8TEJ3	Q8TEJ3	SH3RF3	E3 ubiquitin-protein ligase SH3RF3	3881.92749	2658.619873	4669.67334	5020.601563	4409.549316	4833.153809	2055.92627	4732.584961	3922.52417	2911.981934	4434.623535
Q8TEK3	Q8TEK3	DOT1L	"Histone-lysine N-methyltransferase, H3 lysine-79 specific"	25096.0293	20137.27148	24854.1543	Filtered	24877.07813	23395.01563	Filtered	21184.32227	Filtered	20072.09375	18693.61523
Q8TEM1	Q8TEM1	NUP210	Nuclear pore membrane glycoprotein 210	55952.28125	54685.26953	20059.48242	72454.73438	5063.467285	6295.703613	30718.56445	21266.04297	33114.42578	31220.54883	25334.16211
Q8TEQ0	Q8TEQ0	SNX29	Sorting nexin-29	15604.7334	16205.5625	15761.50781	13295.96094	15066.58496	17745.02734	11786.27148	11448.78906	5724.496094	6953.481445	11538.48242
Q8TEQ6	Q8TEQ6	GEMIN5	Gem-associated protein 5	32451.82813	33919.95313	27136.13867	22885.95703	31402.16797	31683.94531	55166.65625	35231.69141	53553.39844	58427.98828	39764.07813
Q8TEQ8	Q8TEQ8	PIGO	GPI ethanolamine phosphate transferase 3	1694.803711	1711.243286	1065.901611	2601.299072	1335.079834	Filtered	8599.654297	2582.638428	8486.337891	7622.62207	8793.419922
Q8TER5	Q8TER5	ARHGEF40	Rho guanine nucleotide exchange factor 40	5571.356934	6253.199219	5715.530273	5246.459473	7047.526855	4784.529785	8690.852539	9015.243164	8694.605469	9209.261719	9399.164063
Q8TEU7	Q8TEU7	RAPGEF6	Rap guanine nucleotide exchange factor 6	25358.0625	32723.61523	25521.32422	18346.76758	36661.70313	25573.32227	14281.60449	19691.51953	10536.17188	8814.064453	14671.96875
Q8TEV9	Q8TEV9	SMCR8	Guanine nucleotide exchange protein SMCR8	9125.161133	14196.33594	9326.455078	11311.51172	8688.321289	13676.40527	8439.959961	3058.100342	5410.068359	5269.392578	5567.614746
Q8TEW0	Q8TEW0	PARD3	Partitioning defective 3 homolog	5077.074219	4371.45166	6013.274414	7777.924805	5395.963379	6347.663086	6858.617676	7309.912598	6204.087891	6086.416992	5699.491211
Q8TEX9	Q8TEX9	IPO4	Importin-4	68582.07813	69215	71906.46094	74512.80469	72648.09375	77329.51563	72450.6875	71298.3125	82958.1875	80308.89063	75991.57813
Q8TEY7	Q8TEY7	USP33	Ubiquitin carboxyl-terminal hydrolase 33	25916.27734	23143.05664	24756.24805	23314.64453	22880.06445	22073.43945	20834.34766	20524.13086	22720.78906	19574.22461	20019.15234
Q8TF05	Q8TF05	PPP4R1	Serine/threonine-protein phosphatase 4 regulatory subunit 1	31439.82617	43917.14063	30191.80859	28743.37305	33397.58984	36100.20313	32504.62305	32194.04102	22112.08789	28703.05078	33033.61328
Q8TF09;Q9NP97	Q8TF09;Q9NP97	DYNLRB2;DYNLRB1	Dynein light chain roadblock-type 2;Dynein light chain roadblock-type 1	125367.6016	159067.9688	179026.1563	135781.9375	167494.3281	210164.7344	341662.875	384877.7188	341410.1875	377903	419274.875
Q8TF39	Q8TF39	ZNF483	Zinc finger protein 483	1	1	1	1	1	1	2826.019043	2091.184082	4019.047363	3633.343262	3870.728027
Q8TF42	Q8TF42	UBASH3B	Ubiquitin-associated and SH3 domain-containing protein B	45867.15625	41861.9375	45776.48828	45839.55859	45406.51172	49354.22656	30888.54297	29954.14844	32047.20508	30368.60352	31039.53711
Q8TF44	Q8TF44	C2CD4C	C2 calcium-dependent domain-containing protein 4C	55174.16016	55541.79688	55612.82813	54259.53906	54016.17578	52237.47656	50895.33594	46136.48438	48166.26563	47523.67578	46544.0625
Q8TF61	Q8TF61	FBXO41	F-box only protein 41	16272.77832	13216.29004	13907.3916	13449.42285	16491.49219	13538.61523	20228.67188	21172.37305	16972.15234	20906.88477	15427.38281
Q8TF68	Q8TF68	ZNF384	Zinc finger protein 384	Filtered	1.00296855	Filtered	Filtered	Filtered	Filtered	12871.91211	1807.565674	15625.49121	13519.93555	15145.0332
Q8TF74	Q8TF74	WIPF2	WAS/WASL-interacting protein family member 2	3548876	220394.8438	245911.0313	247924.3125	325447.375	289712.4375	137109.5	132475.3438	175447.3125	118765.0703	124100.8516
Q8WTR2	Q8WTR2	DUSP19	Dual specificity protein phosphatase 19	7392.224609	10398.42773	8850.764648	11042.11133	9109.162109	8529.466797	6369.294434	7167.537598	8053.918945	8000.466797	8416.494141
Q8WTR4	Q8WTR4	GDPD5	Glycerophosphodiester phosphodiesterase domain-containing protein 5	35487.64063	38227.43359	37275.4375	34846.17578	35465.69141	30120.125	9477.838867	10599.37305	11081.49219	9857.705078	9133.992188
Q8WTS1	Q8WTS1	ABHD5	1-acylglycerol-3-phosphate O-acyltransferase ABHD5	28387.08008	30971.24023	30337.17969	25091.9375	28823.80859	25093.03516	13770.1582	17935.60547	13711.92188	16286.19727	14180.18359
Q8WTT2	Q8WTT2	NOC3L	Nucleolar complex protein 3 homolog	3390.486328	Filtered	Filtered	16293.58203	14964.34863	Filtered	15043.05957	13385.65137	13866.74414	14017.68848	14636.14648
Q8WTW3	Q8WTW3	COG1	Conserved oligomeric Golgi complex subunit 1	4135.282227	4170.345215	2770.084717	2356.158447	5284.371582	4248.174316	17215.00586	15348.19336	16347.93359	15704.1582	21063.93555
Q8WTW4	Q8WTW4	NPRL2	GATOR complex protein NPRL2	2434.318604	2125.92749	3582.549072	2043.687622	2793.30127	2914.222656	3388.271973	3303.21582	3247.125244	5241.958496	2790.681396
Q8WU76	Q8WU76	SCFD2	Sec1 family domain-containing protein 2	15163.00195	14873.64258	16704.22852	13262.66992	15154.0918	14211.49219	20085.85938	21074.29297	14270.97754	20135.91406	21158.0625
Q8WU79	Q8WU79	SMAP2	Stromal membrane-associated protein 2	55076.62109	41752.46484	47485.71875	35809.89063	41351.87891	35965	71228.74219	74112.34375	64978.90234	66758.36719	56935.57031
Q8WU90	Q8WU90	ZC3H15	Zinc finger CCCH domain-containing protein 15	Filtered	3426.032959	3050.39624	1647.646851	2466.065918	1347.981689	16084.28711	10426.15137	23012.3418	25903.78711	25986.62109
Q8WUA2	Q8WUA2	PPIL4	Peptidyl-prolyl cis-trans isomerase-like 4	13836.08301	6230.353516	8937.398438	12591.45313	14661.49512	10010.04102	59796.34375	64336.13281	63301.32031	66206.42969	72470.10938
Q8WUA4	Q8WUA4	GTF3C2	General transcription factor 3C polypeptide 2	Filtered	Filtered	Filtered	Filtered	Filtered	2668.388428	18324.01953	18024.22266	19521.32422	21841.17188	19545.27734
Q8WUA7	Q8WUA7	TBC1D22A	TBC1 domain family member 22A	9689.483398	9221.116211	11861.96582	10961.72949	14815.33691	9338.921875	12099.59375	10445.59863	10627.52051	9806.504883	9751.929688
Q8WUD1	Q8WUD1	RAB2B	Ras-related protein Rab-2B	418673.7188	416504.25	404469.9688	423622.9063	423430.9375	374835	287628.875	285594.4063	299768.1875	285511.875	275570.7188
Q8WUD4	Q8WUD4	CCDC12	Coiled-coil domain-containing protein 12	14178.13379	6251.263672	7166.219727	46281.12891	4200.85498	28606.49609	13627.75586	10213.52344	14568.01172	7886.445313	11690.59277
Q8WUF8	Q8WUF8	FAM172A	Cotranscriptional regulator FAM172A	Filtered	3783.699951	3854.888672	5046.323242	3633.24292	3419.458008	13378.5	11208.25879	12564.66309	12878.57324	13827.57813
Q8WUG5	Q8WUG5	SLC22A17	Solute carrier family 22 member 17	59493.49609	61625.60938	60704.20313	53542.70313	59967.30859	56240.28125	45609.42188	44836.18359	56145.16406	51619.73828	52019.86328
Q8WUH2	Q8WUH2	TGFBRAP1	Transforming growth factor-beta receptor-associated protein 1	52246.45313	52325.15625	52127.01563	50253.01563	52673.55859	50891.94531	34879.92969	38280.78906	36261.90234	37766.98828	39053.13281
Q8WUH6	Q8WUH6	TMEM263	Transmembrane protein 263	1869.198975	Filtered	383.8548584	3775.310547	2042.450073	Filtered	7481.642578	5486.913574	7336.893555	6970.065918	9020.025391
Q8WUJ1	Q8WUJ1	CYB5D2	Neuferricin	4372.609863	4055.32959	4142.812988	4001.334961	4329.820801	3978.203613	11256.6748	8711.415039	9566.274414	11075.62598	12919.77441
Q8WUK0	Q8WUK0	PTPMT1	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	39823.64063	23225.99609	22823.17773	23217.46289	25042.07227	24896.66797	38473.20313	33647.61719	41645.27734	39997.99219	72539.28906
Q8WUM0	Q8WUM0	NUP133	Nuclear pore complex protein Nup133	16363.37012	9304.087891	6800.716797	11430.35156	8226.883789	6806.11377	74375.83594	67336.38281	72532.28906	78876.27344	76771.71875
Q8WUM4	Q8WUM4	PDCD6IP	Programmed cell death 6-interacting protein	133303.1094	138489.9375	137422.0781	139230.875	137464.2188	138223.7188	120436.8906	110929.5469	110210.2266	114734.2422	104829.1719
Q8WUN7;Q9HAC8	Q8WUN7;Q9HAC8	UBTD2;UBTD1	Ubiquitin domain-containing protein 2;Ubiquitin domain-containing protein 1	11044.70703	14014.25	14397.55078	15331.94531	15214.49902	17513.85938	13718.06055	10292.38672	8895.306641	8607.166016	10581.12695
Q8WUP2	Q8WUP2	FBLIM1	Filamin-binding LIM protein 1	1016.546631	Filtered	920.1552734	2073.990234	Filtered	2505.322754	1521.166992	1167.077515	841.6586914	2010.580688	3246.658691
Q8WUR7	Q8WUR7	C15orf40	UPF0235 protein C15orf40	Filtered	1506.581543	1643.265625	6863.341797	313.6000977	934.2490234	Filtered	1.364317179	356.956604	677.9069214	Filtered
Q8WUU5	Q8WUU5	GATAD1	GATA zinc finger domain-containing protein 1	1	1	1	1	1	1	13922.1875	16295.70898	17460.0625	18077.86523	17980.0625
Q8WUW1	Q8WUW1	BRK1	Protein BRICK1	24064.97852	23070.47656	22818.94531	20850.10742	24917.70703	28539.0625	24255.96289	33200.20313	30516.35547	28242.63672	37194.63672
Q8WUX9	Q8WUX9	CHMP7	Charged multivesicular body protein 7	108482.4219	106049.8438	110923.3047	104075.0234	105024.7266	97549.5625	54397.84766	62610.36719	51322.17188	63647.55469	61418.38672
Q8WUY3	Q8WUY3	PRUNE2	Protein prune homolog 2	8419.998047	6882.841309	9112.948242	9110.311523	9376.853516	8261.410156	4734.362305	2147.155029	4900.81543	3694.101074	3210.664307
Q8WUY8	Q8WUY8	NAT14	N-acetyltransferase 14	147077.2813	170183.7031	168104.0938	165522.5156	163957.3594	152445.1406	157980.8906	148257.4063	150207.2031	176745.3594	166102.8438
Q8WV74	Q8WV74	NUDT8	Nucleoside diphosphate-linked moiety X motif 8	4243.623047	4239.5625	4425.099609	3851.103516	4400.786621	4248.52832	8941.550781	8742.138672	8061.013672	7383.621094	9439.887695
Q8WVB3	Q8WVB3	HEXD	Hexosaminidase D	10218.77344	9529.452148	11351.22754	9547.697266	11468.87109	12763.875	6864.913086	6525.539063	4505.438477	3715.435059	6054.354492
Q8WVC6	Q8WVC6	DCAKD	Dephospho-CoA kinase domain-containing protein	30178.92969	28974.24805	30274.10547	28138.01563	32388.87305	31290.80078	21098.04492	21134.64063	17853.70313	19455.38867	20232.96484
Q8WVE0	Q8WVE0	EEF1AKMT1	EEF1A lysine methyltransferase 1	8305.335938	9088.038086	9053.492188	9593.291992	9131.330078	8854.477539	14110.65918	10931.36426	13307.87012	13063.45605	12222.4082
Q8WVF1	Q8WVF1	OSCP1	Protein OSCP1	2226.944824	5142.569336	4457.158691	4817.706055	3834.739014	4277.418945	3006.245605	1593.201782	3130.201416	2548.488525	2193.092285
Q8WVJ2	Q8WVJ2	NUDCD2	NudC domain-containing protein 2	9475.916992	10375.14551	15460.86621	12518.08691	11486.36035	13552.7832	11052.11035	12244.30371	14361.80273	16176.11914	9849.242188
Q8WVK2	Q8WVK2	SNRNP27	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein	1	1	1	1	1	1	6123.403809	7825.154785	7061.495117	6894.086426	5876.632813
Q8WVM0	Q8WVM0	TFB1M	"Dimethyladenosine transferase 1, mitochondrial"	1	1	1	1	1	1	5004.167969	2485.289795	3999.44043	4403.824707	5168.705078
Q8WVM7	Q8WVM7	STAG1	Cohesin subunit SA-1	1	1	1	1	1	1	17108.68945	17179.98438	19970.72461	19465.58203	23093.79883
Q8WVM8	Q8WVM8	SCFD1	Sec1 family domain-containing protein 1	82785.11719	82896.875	79847.46094	80862	80245.64844	76549.72656	102827.0703	98557.17969	101348.1094	106267.375	102527.6875
Q8WVR3	Q8WVR3	TRAPPC14	Trafficking protein particle complex subunit 14	29476.88867	28220.29883	24814.23828	29900.61914	30787.35938	25728.37109	17362.33398	18141.66992	17947.00586	20166.94922	19634.83203
Q8WVT3	Q8WVT3	TRAPPC12	Trafficking protein particle complex subunit 12	28247.32617	30828.77148	29154.00781	27770.95313	30764.91016	29343.46484	30011.35156	32771.38281	31353.57031	31662.32031	29799.91406
Q8WVV9	Q8WVV9	HNRNPLL	Heterogeneous nuclear ribonucleoprotein L-like	2419.183838	Filtered	5691.885254	3292.427979	1.223585844	17055.60352	32915.91406	38689.03906	36175.03125	32992.48047	35955.75
Q8WVX9	Q8WVX9	FAR1	Fatty acyl-CoA reductase 1	Filtered	Filtered	Filtered	Filtered	1725.398804	Filtered	7072.402344	6477.168945	8403.074219	7235.877441	7255.979492
Q8WVY7	Q8WVY7	UBLCP1	Ubiquitin-like domain-containing CTD phosphatase 1	28088.57617	25631.55664	27964.43164	28658.09961	27963.16797	28885.5293	75901.82813	93875.67969	94891.34375	92869.23438	103576.9297
Q8WVZ9	Q8WVZ9	KBTBD7	Kelch repeat and BTB domain-containing protein 7	2703.990479	2630.129395	9868.071289	3036.681152	Filtered	2732.827637	7254.652832	5648.282715	7574.179199	6236.405762	8541.511719
Q8WW01	Q8WW01	TSEN15	tRNA-splicing endonuclease subunit Sen15	5593.178711	5871.475586	6571.551758	5661.367676	6195.799805	6757.515625	20791.97852	23319.44141	18657.75	21933.33203	26250.48047
Q8WW12	Q8WW12	PCNP	PEST proteolytic signal-containing nuclear protein	12932.7959	13830.39844	12623.30859	16168.95117	8284.046875	7293.310547	79445.60156	38467.03906	98913.70313	95761.71094	104153.4297
Q8WW22	Q8WW22	DNAJA4	DnaJ homolog subfamily A member 4	60309.13672	62940.68359	57908.40234	8642.588867	60674.29688	58433.85156	85021.57031	90794.91406	7820.90332	6635.568848	8098.59375
Q8WW38	Q8WW38	ZFPM2	Zinc finger protein ZFPM2	8071.206055	8037.671387	8239.270508	9458.786133	9521.772461	6129.493652	3886.064453	1818.115234	3280.140869	3061.476563	3176.362061
Q8WWC4	Q8WWC4	MAIP1	"m-AAA protease-interacting protein 1, mitochondrial"	38705.07813	37912.74219	38098.67188	35360.16406	39727.79297	39086.92969	59062.16797	53503.32813	44790.92969	51866.72656	62005.17578
